MEAN_RR,MEDIAN_RR,SDRR,RMSSD,condition,FID
785,786,87.30756029,25.98518517,interruption,785-786-87.30756029-25.98518517
1017,1003,354.6714564,19.64002542,no stress,1017-1003-354.6714564-19.64002542
977,979,146.4308644,22.15777634,interruption,977-979-146.4308644-22.15777634
1042,990,314.0046176,18.25581825,no stress,1042-990-314.0046176-18.25581825
713,706,63.95465119,9.741557279,no stress,713-706-63.95465119-9.741557279
1032,1031,118.9704196,21.1685747,interruption,1032-1031-118.9704196-21.1685747
833,840,78.88271433,9.09179664,no stress,833-840-78.88271433-9.09179664
807,808,55.45942229,18.62250061,no stress,807-808-55.45942229-18.62250061
732,728,63.09384646,12.83692948,no stress,732-728-63.09384646-12.83692948
717,719,75.74858149,14.36116562,no stress,717-719-75.74858149-14.36116562
767,771,56.27802591,12.59513473,no stress,767-771-56.27802591-12.59513473
823,765,262.3843605,17.86738384,interruption,823-765-262.3843605-17.86738384
880,891,89.86736114,15.86274777,no stress,880-891-89.86736114-15.86274777
836,782,214.8937908,19.6252795,interruption,836-782-214.8937908-19.6252795
964,914,302.2246315,16.62027883,interruption,964-914-302.2246315-16.62027883
732,724,73.74484622,9.834724605,no stress,732-724-73.74484622-9.834724605
701,696,43.34917783,10.66369861,no stress,701-696-43.34917783-10.66369861
764,765,61.68779828,9.587929028,interruption,764-765-61.68779828-9.587929028
794,788,65.86641511,13.31036202,no stress,794-788-65.86641511-13.31036202
949,963,119.9552343,15.85517467,no stress,949-963-119.9552343-15.85517467
768,769,64.42514911,11.21128835,no stress,768-769-64.42514911-11.21128835
728,730,37.7796266,9.963326375,no stress,728-730-37.7796266-9.963326375
732,753,84.72569421,15.43196827,no stress,732-753-84.72569421-15.43196827
786,790,68.71589029,15.3498104,no stress,786-790-68.71589029-15.3498104
785,786,66.35694945,11.67568754,interruption,785-786-66.35694945-11.67568754
737,713,130.8507739,12.25558507,no stress,737-713-130.8507739-12.25558507
1002,1009,98.97629764,22.62240911,interruption,1002-1009-98.97629764-22.62240911
1168,1210,332.0186936,17.08792859,time pressure,1168-1210-332.0186936-17.08792859
724,722,38.25902076,8.88327453,no stress,724-722-38.25902076-8.88327453
883,882,68.57336811,12.70254033,no stress,883-882-68.57336811-12.70254033
827,829,70.09446104,21.77015322,interruption,827-829-70.09446104-21.77015322
729,731,39.98382139,10.1487465,no stress,729-731-39.98382139-10.1487465
1143,1177,156.9019819,22.61411497,interruption,1143-1177-156.9019819-22.61411497
957,937,159.8641628,15.98720478,time pressure,957-937-159.8641628-15.98720478
797,826,131.2639896,16.31244864,no stress,797-826-131.2639896-16.31244864
876,894,79.99087059,13.09956241,no stress,876-894-79.99087059-13.09956241
804,806,62.04436006,14.6041926,interruption,804-806-62.04436006-14.6041926
667,688,95.56178235,19.56290303,no stress,667-688-95.56178235-19.56290303
900,885,115.7566413,14.96926348,time pressure,900-885-115.7566413-14.96926348
814,821,78.70493412,14.59549498,interruption,814-821-78.70493412-14.59549498
728,725,43.73255659,9.380025635,no stress,728-725-43.73255659-9.380025635
1027,1026,98.66946526,20.96107194,no stress,1027-1026-98.66946526-20.96107194
1064,1061,99.72655181,17.78705292,interruption,1064-1061-99.72655181-17.78705292
901,911,79.71442297,18.00480047,interruption,901-911-79.71442297-18.00480047
793,790,48.40681811,11.99784792,no stress,793-790-48.40681811-11.99784792
896,883,113.1587623,17.40541179,no stress,896-883-113.1587623-17.40541179
776,778,75.2112337,12.08858873,interruption,776-778-75.2112337-12.08858873
925,939,115.0165336,17.73524966,interruption,925-939-115.0165336-17.73524966
787,787,69.92112806,12.36259381,no stress,787-787-69.92112806-12.36259381
793,791,49.63033415,12.12328832,no stress,793-791-49.63033415-12.12328832
784,790,79.18315749,11.59097813,no stress,784-790-79.18315749-11.59097813
1136,676,561.3809881,10.97038622,no stress,1136-676-561.3809881-10.97038622
816,825,58.60699292,14.60262264,interruption,816-825-58.60699292-14.60262264
619,585,104.5290801,15.06245021,time pressure,619-585-104.5290801-15.06245021
672,668,66.60714272,12.37988062,no stress,672-668-66.60714272-12.37988062
733,728,80.68352132,21.28401352,interruption,733-728-80.68352132-21.28401352
1139,1193,170.2895793,18.18171822,interruption,1139-1193-170.2895793-18.18171822
754,750,83.57888893,24.29380657,interruption,754-750-83.57888893-24.29380657
914,851,156.5182782,13.60222772,no stress,914-851-156.5182782-13.60222772
1119,1241,393.3051104,20.40000425,no stress,1119-1241-393.3051104-20.40000425
921,887,217.5596406,15.68893672,no stress,921-887-217.5596406-15.68893672
787,791,48.63673015,10.95819502,interruption,787-791-48.63673015-10.95819502
709,715,63.07396581,15.14516931,no stress,709-715-63.07396581-15.14516931
1001,1007,116.0784828,23.17610245,no stress,1001-1007-116.0784828-23.17610245
866,851,101.87059,12.35832581,no stress,866-851-101.87059-12.35832581
877,883,74.63770874,12.965699,time pressure,877-883-74.63770874-12.965699
698,694,69.59669412,19.86224021,no stress,698-694-69.59669412-19.86224021
736,748,72.59040121,10.94795695,no stress,736-748-72.59040121-10.94795695
721,718,50.69823735,9.598618461,no stress,721-718-50.69823735-9.598618461
863,868,62.08411369,14.05708386,no stress,863-868-62.08411369-14.05708386
1065,1060,195.7513243,17.96565691,interruption,1065-1060-195.7513243-17.96565691
821,821,58.18946337,21.0608909,no stress,821-821-58.18946337-21.0608909
1259,1331,294.5152221,14.60059644,no stress,1259-1331-294.5152221-14.60059644
769,771,43.23993409,9.393124497,interruption,769-771-43.23993409-9.393124497
1130,1241,379.1374525,19.46050112,no stress,1130-1241-379.1374525-19.46050112
814,826,110.3069177,16.5449888,no stress,814-826-110.3069177-16.5449888
782,787,53.68875133,13.49303598,no stress,782-787-53.68875133-13.49303598
834,843,77.22049738,19.68150128,interruption,834-843-77.22049738-19.68150128
778,784,56.46758271,11.43065606,interruption,778-784-56.46758271-11.43065606
916,915,87.31601775,21.08342065,interruption,916-915-87.31601775-21.08342065
898,842,150.4518565,12.28611144,no stress,898-842-150.4518565-12.28611144
785,787,87.01848033,26.00849971,interruption,785-787-87.01848033-26.00849971
882,886,89.48963663,13.94432145,time pressure,882-886-89.48963663-13.94432145
880,880,59.28775768,10.93889917,no stress,880-880-59.28775768-10.93889917
828,840,86.16134471,9.246449422,no stress,828-840-86.16134471-9.246449422
929,945,113.3460801,18.18905625,interruption,929-945-113.3460801-18.18905625
902,911,96.80910584,12.75413463,no stress,902-911-96.80910584-12.75413463
922,931,149.4902807,16.30902075,no stress,922-931-149.4902807-16.30902075
871,873,78.91530471,14.40968708,interruption,871-873-78.91530471-14.40968708
1023,1020,102.4074451,24.30749508,no stress,1023-1020-102.4074451-24.30749508
709,710,34.74588854,9.294965002,no stress,709-710-34.74588854-9.294965002
782,784,44.82022851,11.09384459,no stress,782-784-44.82022851-11.09384459
836,840,46.60006194,9.346210395,time pressure,836-840-46.60006194-9.346210395
739,639,244.9655376,19.04361225,no stress,739-639-244.9655376-19.04361225
1321,1653,530.6662042,12.74989579,no stress,1321-1653-530.6662042-12.74989579
870,856,96.49912598,12.25615359,no stress,870-856-96.49912598-12.25615359
691,687,42.5149461,9.585663412,no stress,691-687-42.5149461-9.585663412
724,725,38.31111658,9.999255363,no stress,724-725-38.31111658-9.999255363
810,817,77.1194118,14.69487182,interruption,810-817-77.1194118-14.69487182
731,714,79.01359626,9.373226288,no stress,731-714-79.01359626-9.373226288
1134,1168,160.6034749,22.19752214,interruption,1134-1168-160.6034749-22.19752214
1058,1084,154.5909671,17.37560634,time pressure,1058-1084-154.5909671-17.37560634
932,926,96.70645476,21.64464037,interruption,932-926-96.70645476-21.64464037
1005,1006,82.89794425,21.33193164,interruption,1005-1006-82.89794425-21.33193164
1101,690,548.2356001,10.33792443,no stress,1101-690-548.2356001-10.33792443
792,785,66.27705477,14.12957084,no stress,792-785-66.27705477-14.12957084
787,782,51.0386406,12.09098492,no stress,787-782-51.0386406-12.09098492
661,700,157.6677119,17.13807659,no stress,661-700-157.6677119-17.13807659
850,853,71.74520878,16.00939251,interruption,850-853-71.74520878-16.00939251
882,878,82.64360951,13.7654841,no stress,882-878-82.64360951-13.7654841
830,844,71.94497202,12.77155785,no stress,830-844-71.94497202-12.77155785
1196,1285,420.4537081,19.36974357,time pressure,1196-1285-420.4537081-19.36974357
1040,1050,108.7616191,20.42560003,time pressure,1040-1050-108.7616191-20.42560003
760,757,83.89246046,22.98677841,interruption,760-757-83.89246046-22.98677841
1103,1094,93.30738613,17.19760452,interruption,1103-1094-93.30738613-17.19760452
736,745,72.0281271,10.53482637,no stress,736-745-72.0281271-10.53482637
1133,1165,160.7149934,22.01250252,interruption,1133-1165-160.7149934-22.01250252
832,832,85.60315494,14.25899757,time pressure,832-832-85.60315494-14.25899757
935,929,63.8594398,12.30980178,no stress,935-929-63.8594398-12.30980178
771,793,111.6827025,13.42442166,no stress,771-793-111.6827025-13.42442166
712,730,85.23886205,9.466646607,no stress,712-730-85.23886205-9.466646607
841,807,217.6603122,20.64622733,time pressure,841-807-217.6603122-20.64622733
1011,944,310.6552145,18.29434232,interruption,1011-944-310.6552145-18.29434232
994,1008,98.06621067,14.76033495,time pressure,994-1008-98.06621067-14.76033495
891,887,66.3369222,11.97992371,no stress,891-887-66.3369222-11.97992371
741,760,91.51133668,15.92432356,no stress,741-760-91.51133668-15.92432356
888,789,286.3542509,13.59042381,no stress,888-789-286.3542509-13.59042381
728,740,75.36671975,9.432732089,no stress,728-740-75.36671975-9.432732089
1019,1015,126.0122178,20.5651971,interruption,1019-1015-126.0122178-20.5651971
789,794,56.31809452,10.62748433,interruption,789-794-56.31809452-10.62748433
884,896,107.5300652,14.7727104,no stress,884-896-107.5300652-14.7727104
737,765,125.7041933,13.97984864,no stress,737-765-125.7041933-13.97984864
802,802,75.43887304,11.49936942,no stress,802-802-75.43887304-11.49936942
1225,1168,289.0248759,15.07747628,time pressure,1225-1168-289.0248759-15.07747628
877,895,79.47982769,13.46511552,no stress,877-895-79.47982769-13.46511552
880,887,80.49713464,16.18096894,no stress,880-887-80.49713464-16.18096894
813,814,55.18305539,19.34451765,no stress,813-814-55.18305539-19.34451765
700,696,43.29961026,10.11861798,no stress,700-696-43.29961026-10.11861798
982,990,106.4214307,22.76245423,interruption,982-990-106.4214307-22.76245423
1015,1018,89.72000042,21.39128734,no stress,1015-1018-89.72000042-21.39128734
638,672,114.3719639,14.52182054,no stress,638-672-114.3719639-14.52182054
765,753,113.6623453,10.90194083,no stress,765-753-113.6623453-10.90194083
780,787,44.98328466,8.918789444,interruption,780-787-44.98328466-8.918789444
606,584,73.04338173,8.47263145,no stress,606-584-73.04338173-8.47263145
800,806,99.22628014,18.62335767,no stress,800-806-99.22628014-18.62335767
787,788,85.36865157,26.32090221,interruption,787-788-85.36865157-26.32090221
947,942,114.5040034,15.41700197,no stress,947-942-114.5040034-15.41700197
791,801,72.71158316,13.94257541,no stress,791-801-72.71158316-13.94257541
756,755,84.11828416,25.08916596,interruption,756-755-84.11828416-25.08916596
794,788,65.37585296,14.0273521,no stress,794-788-65.37585296-14.0273521
1017,1020,88.11877588,21.20545369,no stress,1017-1020-88.11877588-21.20545369
818,828,106.4390588,15.54164413,no stress,818-828-106.4390588-15.54164413
874,772,288.9370848,15.62962001,interruption,874-772-288.9370848-15.62962001
1051,1066,121.4927857,21.45673217,no stress,1051-1066-121.4927857-21.45673217
702,710,69.36169639,16.81056939,no stress,702-710-69.36169639-16.81056939
806,810,68.78289261,18.45608756,no stress,806-810-68.78289261-18.45608756
1190,1209,290.7861393,15.04506506,interruption,1190-1209-290.7861393-15.04506506
756,752,84.32693725,24.5311803,interruption,756-752-84.32693725-24.5311803
769,771,46.38158746,9.163678022,interruption,769-771-46.38158746-9.163678022
798,801,69.33780674,18.73388374,no stress,798-801-69.33780674-18.73388374
1005,1015,80.76879007,14.93415431,time pressure,1005-1015-80.76879007-14.93415431
827,766,213.3258653,15.44498933,interruption,827-766-213.3258653-15.44498933
782,782,70.46712946,14.09033961,no stress,782-782-70.46712946-14.09033961
643,611,128.0855274,17.65677498,no stress,643-611-128.0855274-17.65677498
807,815,59.86521448,14.34731709,interruption,807-815-59.86521448-14.34731709
580,533,142.7990729,18.24680031,no stress,580-533-142.7990729-18.24680031
819,857,123.4849472,18.46044019,no stress,819-857-123.4849472-18.46044019
854,861,73.75433544,15.52318073,no stress,854-861-73.75433544-15.52318073
1125,1161,296.5816326,19.09610891,time pressure,1125-1161-296.5816326-19.09610891
715,716,33.92234973,9.361467658,no stress,715-716-33.92234973-9.361467658
716,671,174.8476169,16.98683451,no stress,716-671-174.8476169-16.98683451
831,844,78.52521711,14.28913232,no stress,831-844-78.52521711-14.28913232
764,734,209.235954,16.09196185,interruption,764-734-209.235954-16.09196185
792,792,48.56994457,12.14873052,no stress,792-792-48.56994457-12.14873052
740,740,55.02840217,10.11867064,no stress,740-740-55.02840217-10.11867064
635,637,49.77652732,8.839329033,no stress,635-637-49.77652732-8.839329033
758,701,191.8088004,10.79178989,no stress,758-701-191.8088004-10.79178989
887,883,67.9758568,12.10809283,no stress,887-883-67.9758568-12.10809283
909,915,100.7800908,17.85246875,no stress,909-915-100.7800908-17.85246875
809,762,293.9794747,16.56387706,no stress,809-762-293.9794747-16.56387706
755,741,110.8469825,10.39072348,no stress,755-741-110.8469825-10.39072348
719,710,72.28330415,21.62488945,no stress,719-710-72.28330415-21.62488945
1019,1018,99.65503344,23.22844321,no stress,1019-1018-99.65503344-23.22844321
767,767,46.61773836,9.425116647,interruption,767-767-46.61773836-9.425116647
843,850,53.06589399,13.53385866,no stress,843-850-53.06589399-13.53385866
839,836,64.58142232,13.73172822,interruption,839-836-64.58142232-13.73172822
996,998,79.18257407,21.69067693,interruption,996-998-79.18257407-21.69067693
753,748,76.38546808,24.2411466,interruption,753-748-76.38546808-24.2411466
723,681,153.913842,14.6199389,no stress,723-681-153.913842-14.6199389
1014,1009,79.62480471,22.67779426,interruption,1014-1009-79.62480471-22.67779426
997,1008,140.9522016,21.08817072,interruption,997-1008-140.9522016-21.08817072
1020,1016,103.5634009,24.33621641,no stress,1020-1016-103.5634009-24.33621641
829,831,67.26600043,21.15929814,interruption,829-831-67.26600043-21.15929814
973,973,62.02513531,12.22578337,no stress,973-973-62.02513531-12.22578337
861,867,78.14391762,13.86443994,interruption,861-867-78.14391762-13.86443994
717,715,65.44768206,14.12722932,no stress,717-715-65.44768206-14.12722932
755,765,68.1196484,10.78211598,interruption,755-765-68.1196484-10.78211598
728,719,74.44149938,9.974231648,no stress,728-719-74.44149938-9.974231648
778,783,69.10741867,13.5848026,no stress,778-783-69.10741867-13.5848026
908,910,77.45755142,12.15221288,no stress,908-910-77.45755142-12.15221288
807,811,77.81312716,14.55369636,no stress,807-811-77.81312716-14.55369636
717,710,84.64678338,20.23089103,interruption,717-710-84.64678338-20.23089103
794,799,102.6835823,16.24097292,interruption,794-799-102.6835823-16.24097292
692,667,177.537866,15.61247214,no stress,692-667-177.537866-15.61247214
681,686,80.86084186,15.1815741,no stress,681-686-80.86084186-15.1815741
867,865,71.75825897,12.6439325,no stress,867-865-71.75825897-12.6439325
884,843,172.7019681,17.27927832,time pressure,884-843-172.7019681-17.27927832
875,702,372.8452891,13.01053191,no stress,875-702-372.8452891-13.01053191
737,721,130.7969666,17.65334627,no stress,737-721-130.7969666-17.65334627
713,709,59.39281728,9.594246556,no stress,713-709-59.39281728-9.594246556
1098,1122,297.3003339,18.67300933,time pressure,1098-1122-297.3003339-18.67300933
866,800,286.029402,17.30486919,interruption,866-800-286.029402-17.30486919
727,724,125.349855,9.713959612,no stress,727-724-125.349855-9.713959612
649,660,137.4543193,14.76618799,no stress,649-660-137.4543193-14.76618799
786,782,61.9333023,14.69802641,interruption,786-782-61.9333023-14.69802641
872,857,82.16731838,11.9908659,no stress,872-857-82.16731838-11.9908659
1145,1072,272.495356,18.98073363,time pressure,1145-1072-272.495356-18.98073363
631,661,112.8579559,16.50183508,no stress,631-661-112.8579559-16.50183508
733,736,74.2642122,12.35458609,no stress,733-736-74.2642122-12.35458609
833,842,80.25877021,19.3545383,interruption,833-842-80.25877021-19.3545383
925,936,148.0369939,16.67549879,no stress,925-936-148.0369939-16.67549879
951,963,118.6655098,15.82742757,no stress,951-963-118.6655098-15.82742757
858,862,71.79016765,13.44356196,time pressure,858-862-71.79016765-13.44356196
801,802,64.7230509,14.36815179,no stress,801-802-64.7230509-14.36815179
960,955,217.4156165,16.80358932,time pressure,960-955-217.4156165-16.80358932
862,858,70.03015867,15.21057606,no stress,862-858-70.03015867-15.21057606
655,662,155.20147,14.91220908,no stress,655-662-155.20147-14.91220908
970,951,183.6961799,15.70203568,time pressure,970-951-183.6961799-15.70203568
987,1000,101.5515599,21.04433277,interruption,987-1000-101.5515599-21.04433277
729,730,39.83302753,10.15401344,no stress,729-730-39.83302753-10.15401344
846,846,70.86770522,13.03105319,time pressure,846-846-70.86770522-13.03105319
828,840,72.81575547,12.44067074,no stress,828-840-72.81575547-12.44067074
798,796,63.75894369,14.27291071,no stress,798-796-63.75894369-14.27291071
880,877,45.77915721,8.518912259,interruption,880-877-45.77915721-8.518912259
775,774,42.78954777,10.94585523,no stress,775-774-42.78954777-10.94585523
944,936,97.9329178,14.42476823,time pressure,944-936-97.9329178-14.42476823
727,725,43.82839515,9.473963527,no stress,727-725-43.82839515-9.473963527
896,904,84.02123529,16.20573907,interruption,896-904-84.02123529-16.20573907
885,895,96.61083977,15.79468193,no stress,885-895-96.61083977-15.79468193
733,719,179.0228838,20.56001593,no stress,733-719-179.0228838-20.56001593
951,951,56.70528573,12.23193383,no stress,951-951-56.70528573-12.23193383
729,737,117.8273847,12.45849763,no stress,729-737-117.8273847-12.45849763
716,713,52.62072704,9.649547954,no stress,716-713-52.62072704-9.649547954
1080,1086,105.345184,20.76394188,interruption,1080-1086-105.345184-20.76394188
854,859,52.69999281,11.77301003,time pressure,854-859-52.69999281-11.77301003
730,732,34.38859551,10.24939306,no stress,730-732-34.38859551-10.24939306
746,729,108.9728662,10.05272955,no stress,746-729-108.9728662-10.05272955
1185,1140,255.3427042,15.66462165,time pressure,1185-1140-255.3427042-15.66462165
1141,1185,164.4074042,21.9962737,interruption,1141-1185-164.4074042-21.9962737
812,821,61.33681664,14.49694441,interruption,812-821-61.33681664-14.49694441
964,967,71.02158101,14.56045713,interruption,964-967-71.02158101-14.56045713
653,667,133.8725719,14.29245926,no stress,653-667-133.8725719-14.29245926
985,971,160.1557475,15.63605855,time pressure,985-971-160.1557475-15.63605855
729,726,81.94583979,20.43627486,interruption,729-726-81.94583979-20.43627486
1131,1137,266.813841,14.92705692,time pressure,1131-1137-266.813841-14.92705692
665,660,47.1066131,9.052377215,no stress,665-660-47.1066131-9.052377215
916,870,315.0867794,18.16674902,no stress,916-870-315.0867794-18.16674902
983,991,97.5418135,19.8545732,interruption,983-991-97.5418135-19.8545732
784,779,61.74816524,14.77152159,interruption,784-779-61.74816524-14.77152159
739,739,54.98054921,10.152977,no stress,739-739-54.98054921-10.152977
744,659,316.8037441,17.67330209,no stress,744-659-316.8037441-17.67330209
782,786,57.64569294,10.89273576,interruption,782-786-57.64569294-10.89273576
988,996,114.7071584,22.66872692,interruption,988-996-114.7071584-22.66872692
765,769,76.83433469,14.69852415,no stress,765-769-76.83433469-14.69852415
786,786,78.49948072,26.2209445,interruption,786-786-78.49948072-26.2209445
1055,1080,230.0796829,18.44371907,no stress,1055-1080-230.0796829-18.44371907
731,732,39.97474171,10.04423909,no stress,731-732-39.97474171-10.04423909
808,823,105.5229006,16.86327886,no stress,808-823-105.5229006-16.86327886
724,722,38.53111111,8.873330581,no stress,724-722-38.53111111-8.873330581
728,721,71.35509181,23.28687773,no stress,728-721-71.35509181-23.28687773
891,893,72.01584848,13.70086254,time pressure,891-893-72.01584848-13.70086254
838,853,77.40292839,11.93290307,no stress,838-853-77.40292839-11.93290307
864,878,88.99674084,19.29186059,interruption,864-878-88.99674084-19.29186059
797,795,70.0235321,19.53982332,no stress,797-795-70.0235321-19.53982332
871,890,92.18062524,18.34361152,interruption,871-890-92.18062524-18.34361152
809,812,74.61993919,11.52267903,no stress,809-812-74.61993919-11.52267903
927,934,92.72460215,14.12980465,interruption,927-934-92.72460215-14.12980465
709,695,78.28259441,19.95783134,no stress,709-695-78.28259441-19.95783134
788,790,44.16369771,12.64027486,no stress,788-790-44.16369771-12.64027486
774,772,43.93701449,11.00198696,no stress,774-772-43.93701449-11.00198696
657,653,49.45793732,8.504825701,no stress,657-653-49.45793732-8.504825701
698,681,209.0003916,14.13700513,no stress,698-681-209.0003916-14.13700513
1246,1597,559.7511649,11.45090339,no stress,1246-1597-559.7511649-11.45090339
880,867,95.46406896,12.71843718,no stress,880-867-95.46406896-12.71843718
745,714,132.7162054,12.06181557,no stress,745-714-132.7162054-12.06181557
775,724,158.4842208,13.60138657,no stress,775-724-158.4842208-13.60138657
1043,1038,111.1414037,21.36085801,interruption,1043-1038-111.1414037-21.36085801
691,687,41.20318097,9.406700734,no stress,691-687-41.20318097-9.406700734
878,877,76.81316489,13.33644742,no stress,878-877-76.81316489-13.33644742
718,725,69.45494511,11.68890524,no stress,718-725-69.45494511-11.68890524
927,923,64.94706401,12.16203661,no stress,927-923-64.94706401-12.16203661
739,739,62.92779711,9.664873412,no stress,739-739-62.92779711-9.664873412
790,790,51.12520884,12.1836786,no stress,790-790-51.12520884-12.1836786
812,847,140.6269354,15.98671929,no stress,812-847-140.6269354-15.98671929
813,822,58.87559359,14.97970098,interruption,813-822-58.87559359-14.97970098
887,881,67.79837385,11.850185,no stress,887-881-67.79837385-11.850185
941,936,69.61738578,20.58895762,interruption,941-936-69.61738578-20.58895762
805,801,106.9628848,8.792608063,no stress,805-801-106.9628848-8.792608063
891,893,93.98223344,14.21380844,time pressure,891-893-93.98223344-14.21380844
938,931,76.37425035,12.53946039,no stress,938-931-76.37425035-12.53946039
